"","co_grupo","co_sub_grupo","co_forma_organizacao","co_procedimento","no_procedimento","tp_complexidade","tp_sexo","qt_maxima_execucao","qt_dias_permanencia","qt_pontos","vl_idade_minima","vl_idade_maxima","vl_servico_hospitalar","vl_servico_ambulatorial","vl_servico_profissional","qt_tempo_permanencia","no_grupo","no_sub_grupo","no_forma_organizacao"
"29","01","01","04","0101040113","DISPENSAÇÃO DE SUPLEMENTO DE FERRO                                                                                                                                                                                                                        ","1","I","9999","9999","0000","0005","0731","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Alimentação e nutrição                                                                              "
"30","01","01","04","0101040121","AVALIAÇÃO DO RISCO DE INSEGURANÇA ALIMENTAR                                                                                                                                                                                                               ","1","I","9999","9999","0000","0216","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Alimentação e nutrição                                                                              "
"31","01","01","05","0101050011","PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA                                                                                                                                                                                                        ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"32","01","01","05","0101050020","TERAPIA COMUNITÁRIA                                                                                                                                                                                                                                       ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"33","01","01","05","0101050046","YOGA                                                                                                                                                                                                                                                      ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"34","01","01","05","0101050054","OFICINA DE MASSAGEM/ AUTO-MASSAGEM                                                                                                                                                                                                                        ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"35","01","01","05","0101050062","SESSÃO DE ARTETERAPIA                                                                                                                                                                                                                                     ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"36","01","01","05","0101050070","SESSÃO DE MEDITAÇÃO                                                                                                                                                                                                                                       ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"37","01","01","05","0101050089","SESSÃO DE MUSICOTERAPIA                                                                                                                                                                                                                                   ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"38","01","01","05","0101050097","SESSÃO DE ANTROPOSOFIA APLICADA À SAÚDE                                                                                                                                                                                                                   ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"39","01","01","05","0101050100","SESSÃO DE BIODANÇA                                                                                                                                                                                                                                        ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"40","01","01","05","0101050119","SESSÃO DE BIOENERGÉTICA                                                                                                                                                                                                                                   ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"41","01","01","05","0101050127","SESSÃO DE CONSTELAÇÃO FAMILIAR                                                                                                                                                                                                                            ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"42","01","01","05","0101050135","SESSÃO DE DANÇA CIRCULAR                                                                                                                                                                                                                                  ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"43","01","01","05","0101050143","SESSÃO DE TERMALISMO                                                                                                                                                                                                                                      ","1","I","9999","9999","0000","0000","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Ações coletivas/individuais em saúde                                                                ","Praticas integrativas/complementares                                                                "
"44","01","02","01","0102010056","ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO                                                                                                                                                                                                               ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"45","01","02","01","0102010064","ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA                                                                                                                                                                                                                ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"46","01","02","01","0102010072","CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                                                                                                                              ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"47","01","02","01","0102010145","INSPEÇÃO SANITÁRIA DE HOSPITAIS                                                                                                                                                                                                                           ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"48","01","02","01","0102010153","INVESTIGAÇÃO DE EVENTOS ADVERSOS E/OU QUEIXAS TÉCNICAS                                                                                                                                                                                                    ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"49","01","02","01","0102010161","EXCLUSÃO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA COM ATIVIDADES ENCERRADAS.                                                                                                                                                       ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"50","01","02","01","0102010170","INSPEÇÃO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                                                                                                                             ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"51","01","02","01","0102010188","LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA                                                                                                                                                                                        ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"52","01","02","01","0102010196","APROVAÇÃO DE PROJETOS BÁSICOS DE ARQUITETURA                                                                                                                                                                                                              ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"53","01","02","01","0102010200","INVESTIGAÇÃO DE SURTOS DE DOENÇAS TRANSMITIDAS POR ALIMENTOS                                                                                                                                                                                              ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"54","01","02","01","0102010218","INVESTIGAÇÃO DE SURTOS DE INFECÇÃO EM SERVIÇOS DE SAÚDE                                                                                                                                                                                                   ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"55","01","02","01","0102010226","ATIVIDADE EDUCATIVA PARA A POPULAÇÃO                                                                                                                                                                                                                      ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"56","01","02","01","0102010234","RECEBIMENTO DE DENÚNCIAS/RECLAMAÇÕES                                                                                                                                                                                                                      ","0","I","9999","9999","0000","0005","1571","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"57","01","02","01","0102010242","ATENDIMENTO À DENÚNCIAS/RECLAMAÇÕES                                                                                                                                                                                                                       ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"58","01","02","01","0102010250","CADASTRO DE HOSPITAIS                                                                                                                                                                                                                                     ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"59","01","02","01","0102010269","LICENCIAMENTO SANITÁRIO DE HOSPITAIS                                                                                                                                                                                                                      ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"60","01","02","01","0102010277","CADASTRO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                                                                                                                                                 ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"61","01","02","01","0102010285","INSPEÇÃO SANITÁRIA DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                                                                                                                                       ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"62","01","02","01","0102010293","LICENCIAMENTO SANITÁRIO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                                                                                                                                  ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"63","01","02","01","0102010307","CADASTRO DE INDÚSTRIAS DE MEDICAMENTOS                                                                                                                                                                                                                    ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
"64","01","02","01","0102010315","INSPEÇÃO SANITÁRIA DE INDÚSTRIA DE MEDICAMENTOS                                                                                                                                                                                                           ","0","N","9999","9999","0000","9999","9999","0000000000","0000000000","0000000000","9999","Ações de promoção e prevenção em saúde                                                              ","Vigilância em saúde                                                                                 ","Vigilancia sanitária                                                                                "
